;   characteristic Earth spectrum at quadrature phase
;   from Virtual Planetary Laboratory 3-D spectral Earth model:
;   Robinson, T.D, Meadows, V.S., et al. 2011, Astrobiology, 11, 393.
;
;   contact: Tyler Robinson (robinson.tyler.d@gmail.com)
;
;   wavelength    intensity   solar flux   reflectance
;     [um]      [W/m**2/um/sr][W/m**2/um]
     0.100179      0.00000     0.807243      0.00000
     0.100180      0.00000     0.807223      0.00000
     0.100181      0.00000     0.807203      0.00000
     0.100182      0.00000     0.807183      0.00000
     0.100183      0.00000     0.807163      0.00000
     0.100184      0.00000     0.807143      0.00000
     0.100185      0.00000     0.807122      0.00000
     0.100186      0.00000     0.807102      0.00000
     0.100187      0.00000     0.807082      0.00000
     0.100188      0.00000     0.807062      0.00000
     0.100189      0.00000     0.807042      0.00000
     0.100190      0.00000     0.807022      0.00000
     0.100191      0.00000     0.807002      0.00000
     0.100192      0.00000     0.806982      0.00000
     0.100193      0.00000     0.806961      0.00000
     0.100194      0.00000     0.806941      0.00000
     0.100195      0.00000     0.806921      0.00000
     0.100196      0.00000     0.806901      0.00000
     0.100197      0.00000     0.806881      0.00000
     0.100198      0.00000     0.806861      0.00000
     0.100199      0.00000     0.806841      0.00000
     0.100200      0.00000     0.806820      0.00000
     0.100201      0.00000     0.806800      0.00000
     0.100202      0.00000     0.806780      0.00000
     0.100203      0.00000     0.806760      0.00000
     0.100204      0.00000     0.806740      0.00000
     0.100205      0.00000     0.806720      0.00000
     0.100206      0.00000     0.806700      0.00000
     0.100207      0.00000     0.806679      0.00000
     0.100208      0.00000     0.806659      0.00000
     0.100209      0.00000     0.806639      0.00000
     0.100210      0.00000     0.806619      0.00000
     0.100211      0.00000     0.806599      0.00000
     0.100212      0.00000     0.806579      0.00000
     0.100213      0.00000     0.806559      0.00000
     0.100214      0.00000     0.806538      0.00000
     0.100215      0.00000     0.806518      0.00000
     0.100216      0.00000     0.806498      0.00000
     0.100217      0.00000     0.806478      0.00000
     0.100218      0.00000     0.806458      0.00000
     0.100219      0.00000     0.806438      0.00000
     0.100220      0.00000     0.806417      0.00000
     0.100221      0.00000     0.806397      0.00000
     0.100222      0.00000     0.806377      0.00000
     0.100223      0.00000     0.806357      0.00000
     0.100225      0.00000     0.806337      0.00000
     0.100226      0.00000     0.806317      0.00000
     0.100227      0.00000     0.806297      0.00000
     0.100228      0.00000     0.806276      0.00000
     0.100229      0.00000     0.806256      0.00000
     0.100230 -5.79898e-13     0.806236 -2.25964e-12
     0.100231 -5.79884e-13     0.806216 -2.25964e-12
     0.100232 -5.79869e-13     0.806196 -2.25964e-12
     0.100233 -5.79855e-13     0.806176 -2.25964e-12
     0.100234 -5.79840e-13     0.806155 -2.25964e-12
     0.100235 -5.79826e-13     0.806135 -2.25964e-12
     0.100236 -5.79811e-13     0.806115 -2.25964e-12
     0.100237 -5.79797e-13     0.806095 -2.25964e-12
     0.100238 -5.79782e-13     0.806075 -2.25964e-12
     0.100239 -5.79768e-13     0.806055 -2.25964e-12
     0.100240 -5.79753e-13     0.806035 -2.25964e-12
     0.100241 -5.79739e-13     0.806014 -2.25964e-12
     0.100242 -5.79725e-13     0.805994 -2.25964e-12
     0.100243 -5.79710e-13     0.805974 -2.25964e-12
     0.100244 -5.79695e-13     0.805954 -2.25964e-12
     0.100245 -5.79681e-13     0.805934 -2.25964e-12
     0.100246 -5.79666e-13     0.805914 -2.25964e-12
     0.100247 -5.79652e-13     0.805893 -2.25964e-12
     0.100248 -5.79637e-13     0.805873 -2.25964e-12
     0.100249 -5.79623e-13     0.805853 -2.25964e-12
     0.100250 -5.79609e-13     0.805833 -2.25964e-12
     0.100251 -5.79594e-13     0.805813 -2.25964e-12
     0.100252 -5.79580e-13     0.805793 -2.25964e-12
     0.100253 -5.79565e-13     0.805773 -2.25964e-12
     0.100254 -5.79550e-13     0.805752 -2.25964e-12
     0.100255 -5.79536e-13     0.805732 -2.25964e-12
     0.100256 -5.79521e-13     0.805712 -2.25964e-12
     0.100257 -5.79507e-13     0.805692 -2.25964e-12
     0.100258 -5.79492e-13     0.805672 -2.25964e-12
     0.100259 -5.79478e-13     0.805651 -2.25964e-12
     0.100260 -5.79464e-13     0.805631 -2.25964e-12
     0.100261 -5.79449e-13     0.805611 -2.25964e-12
     0.100262 -5.79434e-13     0.805591 -2.25964e-12
     0.100263 -5.79420e-13     0.805571 -2.25964e-12
     0.100264 -5.79405e-13     0.805551 -2.25964e-12
     0.100265 -5.79391e-13     0.805531 -2.25964e-12
     0.100266 -5.79376e-13     0.805510 -2.25964e-12
     0.100267 -5.79362e-13     0.805490 -2.25964e-12
     0.100268 -5.79347e-13     0.805470 -2.25964e-12
     0.100269 -5.79333e-13     0.805450 -2.25964e-12
     0.100270 -5.79318e-13     0.805430 -2.25964e-12
     0.100271 -5.79304e-13     0.805410 -2.25964e-12
     0.100272 -5.79289e-13     0.805389 -2.25964e-12
     0.100273 -5.79275e-13     0.805369 -2.25964e-12
     0.100274 -5.79260e-13     0.805349 -2.25964e-12
     0.100275 -5.79246e-13     0.805329 -2.25964e-12
     0.100276 -5.79231e-13     0.805309 -2.25964e-12
     0.100277 -5.79217e-13     0.805289 -2.25964e-12
     0.100278 -5.79202e-13     0.805268 -2.25964e-12
     0.100279 -5.79188e-13     0.805248 -2.25964e-12
     0.100280 -5.79173e-13     0.805228 -2.25964e-12
     0.100281 -5.79159e-13     0.805208 -2.25964e-12
     0.100282 -5.79144e-13     0.805188 -2.25964e-12
     0.100283 -5.79130e-13     0.805168 -2.25964e-12
     0.100284 -5.79115e-13     0.805147 -2.25964e-12
     0.100285 -5.79101e-13     0.805127 -2.25964e-12
     0.100286 -5.79086e-13     0.805107 -2.25964e-12
     0.100287 -5.79072e-13     0.805087 -2.25964e-12
     0.100288 -5.79057e-13     0.805067 -2.25964e-12
     0.100289 -5.79043e-13     0.805046 -2.25964e-12
     0.100290 -5.79028e-13     0.805026 -2.25964e-12
     0.100291 -5.79014e-13     0.805006 -2.25964e-12
     0.100292 -5.78999e-13     0.804986 -2.25964e-12
     0.100293 -5.78985e-13     0.804966 -2.25964e-12
     0.100294 -5.78970e-13     0.804946 -2.25964e-12
     0.100295 -5.78956e-13     0.804925 -2.25964e-12
     0.100296 -5.78941e-13     0.804905 -2.25964e-12
     0.100297 -5.78927e-13     0.804885 -2.25964e-12
     0.100298 -5.78912e-13     0.804865 -2.25964e-12
     0.100299 -5.78898e-13     0.804845 -2.25964e-12
     0.100300 -5.78883e-13     0.804825 -2.25964e-12
     0.100301 -5.78869e-13     0.804804 -2.25964e-12
     0.100302 -5.78854e-13     0.804784 -2.25964e-12
     0.100303 -5.78840e-13     0.804764 -2.25964e-12
     0.100304 -5.78825e-13     0.804744 -2.25964e-12
     0.100305 -5.78811e-13     0.804724 -2.25964e-12
     0.100306 -5.78796e-13     0.804703 -2.25964e-12
     0.100307 -5.78782e-13     0.804683 -2.25964e-12
     0.100308 -5.78767e-13     0.804663 -2.25964e-12
     0.100309 -5.78752e-13     0.804643 -2.25964e-12
     0.100310 -5.78738e-13     0.804623 -2.25964e-12
     0.100311 -5.78723e-13     0.804602 -2.25964e-12
     0.100312 -5.78709e-13     0.804582 -2.25964e-12
     0.100313 -5.78694e-13     0.804562 -2.25964e-12
     0.100314 -5.78680e-13     0.804542 -2.25964e-12
     0.100315 -5.78665e-13     0.804522 -2.25964e-12
     0.100316 -5.78651e-13     0.804502 -2.25964e-12
     0.100317 -5.78636e-13     0.804481 -2.25964e-12
     0.100318 -5.78622e-13     0.804461 -2.25964e-12
     0.100319 -5.78607e-13     0.804441 -2.25964e-12
     0.100320 -5.78593e-13     0.804421 -2.25964e-12
     0.100321 -5.78578e-13     0.804401 -2.25964e-12
     0.100322 -5.78564e-13     0.804381 -2.25964e-12
     0.100323 -5.78549e-13     0.804360 -2.25964e-12
     0.100324 -5.78535e-13     0.804340 -2.25964e-12
     0.100325 -5.78520e-13     0.804320 -2.25964e-12
     0.100326 -5.78506e-13     0.804300 -2.25964e-12
     0.100327 -5.78491e-13     0.804280 -2.25964e-12
     0.100328 -5.78477e-13     0.804259 -2.25964e-12
     0.100329 -5.78462e-13     0.804239 -2.25964e-12
     0.100330 -5.78448e-13     0.804219 -2.25964e-12
     0.100331 -5.78433e-13     0.804199 -2.25964e-12
     0.100332 -5.78418e-13     0.804179 -2.25964e-12
     0.100333 -5.78404e-13     0.804158 -2.25964e-12
     0.100334 -5.78389e-13     0.804138 -2.25964e-12
     0.100335 -5.78375e-13     0.804118 -2.25964e-12
     0.100336 -5.78360e-13     0.804098 -2.25964e-12
     0.100337 -5.78346e-13     0.804078 -2.25964e-12
     0.100338 -5.78331e-13     0.804057 -2.25964e-12
     0.100339 -5.78317e-13     0.804037 -2.25964e-12
     0.100340 -5.78302e-13     0.804017 -2.25964e-12
     0.100341 -5.78288e-13     0.803997 -2.25964e-12
     0.100342 -5.78273e-13     0.803977 -2.25964e-12
     0.100343 -5.78259e-13     0.803956 -2.25964e-12
     0.100344 -5.78244e-13     0.803936 -2.25964e-12
     0.100345 -5.78230e-13     0.803916 -2.25964e-12
     0.100346 -5.78215e-13     0.803896 -2.25964e-12
     0.100347 -5.78201e-13     0.803876 -2.25964e-12
     0.100348 -5.78186e-13     0.803855 -2.25964e-12
     0.100349 -5.78171e-13     0.803835 -2.25964e-12
     0.100350 -5.78157e-13     0.803815 -2.25964e-12
     0.100351 -5.78142e-13     0.803795 -2.25964e-12
     0.100352 -5.78128e-13     0.803775 -2.25964e-12
     0.100353 -5.78113e-13     0.803754 -2.25964e-12
     0.100354 -5.78099e-13     0.803734 -2.25964e-12
     0.100355 -5.78084e-13     0.803714 -2.25964e-12
     0.100356 -5.78070e-13     0.803694 -2.25964e-12
     0.100357 -5.78055e-13     0.803674 -2.25964e-12
     0.100358 -5.78041e-13     0.803653 -2.25964e-12
     0.100359 -5.78026e-13     0.803633 -2.25964e-12
     0.100360 -5.78012e-13     0.803613 -2.25964e-12
     0.100361 -5.77997e-13     0.803593 -2.25964e-12
     0.100362 -5.77983e-13     0.803573 -2.25964e-12
     0.100363 -5.77968e-13     0.803552 -2.25964e-12
     0.100364 -5.77954e-13     0.803532 -2.25964e-12
     0.100365 -5.77939e-13     0.803512 -2.25964e-12
     0.100366 -5.77924e-13     0.803492 -2.25964e-12
     0.100367 -5.77910e-13     0.803472 -2.25964e-12
     0.100368 -5.77895e-13     0.803451 -2.25964e-12
     0.100369 -5.77881e-13     0.803431 -2.25964e-12
     0.100370 -5.77866e-13     0.803411 -2.25964e-12
     0.100371 -5.77852e-13     0.803391 -2.25964e-12
     0.100372 -5.77837e-13     0.803370 -2.25964e-12
     0.100373 -5.77823e-13     0.803350 -2.25964e-12
     0.100374 -5.77808e-13     0.803330 -2.25964e-12
     0.100375 -5.77794e-13     0.803310 -2.25964e-12
     0.100376 -5.77779e-13     0.803290 -2.25964e-12
     0.100377 -5.77765e-13     0.803269 -2.25964e-12
     0.100378 -5.77750e-13     0.803249 -2.25964e-12
     0.100379 -5.77735e-13     0.803229 -2.25964e-12
     0.100380 -5.77721e-13     0.803209 -2.25964e-12
     0.100381 -5.77706e-13     0.803189 -2.25964e-12
     0.100382 -5.77692e-13     0.803168 -2.25964e-12
     0.100383 -5.77677e-13     0.803148 -2.25964e-12
     0.100384 -5.77663e-13     0.803128 -2.25964e-12
     0.100385 -5.77648e-13     0.803108 -2.25964e-12
     0.100386 -5.77634e-13     0.803088 -2.25964e-12
     0.100387 -5.77619e-13     0.803067 -2.25964e-12
     0.100389 -5.77605e-13     0.803047 -2.25964e-12
     0.100390 -5.77590e-13     0.803027 -2.25964e-12
     0.100391 -5.77576e-13     0.803007 -2.25964e-12
     0.100392 -5.77561e-13     0.802986 -2.25964e-12
     0.100393 -5.77546e-13     0.802966 -2.25964e-12
     0.100394 -5.77532e-13     0.802946 -2.25964e-12
     0.100395 -5.77517e-13     0.802926 -2.25964e-12
     0.100396 -5.77503e-13     0.802906 -2.25964e-12
     0.100397 -5.77488e-13     0.802885 -2.25964e-12
     0.100398 -5.77474e-13     0.802865 -2.25964e-12
     0.100399 -5.77459e-13     0.802845 -2.25964e-12
     0.100400 -5.77445e-13     0.802825 -2.25964e-12
     0.100401 -5.77430e-13     0.802805 -2.25964e-12
     0.100402 -5.77416e-13     0.802784 -2.25964e-12
     0.100403 -5.77401e-13     0.802764 -2.25964e-12
     0.100404 -5.77387e-13     0.802744 -2.25964e-12
     0.100405 -5.77372e-13     0.802724 -2.25964e-12
     0.100406 -5.77357e-13     0.802703 -2.25964e-12
     0.100407 -5.77343e-13     0.802683 -2.25964e-12
     0.100408 -5.77328e-13     0.802663 -2.25964e-12
     0.100409 -5.77314e-13     0.802643 -2.25964e-12
     0.100410 -5.77299e-13     0.802622 -2.25964e-12
     0.100411 -5.77285e-13     0.802602 -2.25964e-12
     0.100412 -5.77270e-13     0.802582 -2.25964e-12
     0.100413 -5.77256e-13     0.802562 -2.25964e-12
     0.100414 -5.77241e-13     0.802542 -2.25964e-12
     0.100415 -5.77226e-13     0.802521 -2.25964e-12
     0.100416 -5.77212e-13     0.802501 -2.25964e-12
     0.100417 -5.77197e-13     0.802481 -2.25964e-12
     0.100418 -5.77183e-13     0.802461 -2.25964e-12
     0.100419 -5.77168e-13     0.802440 -2.25964e-12
     0.100420 -5.77154e-13     0.802420 -2.25964e-12
     0.100421 -5.77139e-13     0.802400 -2.25964e-12
     0.100422 -5.77125e-13     0.802380 -2.25964e-12
     0.100423 -5.77110e-13     0.802360 -2.25964e-12
     0.100424 -5.77096e-13     0.802339 -2.25964e-12
     0.100425 -5.77081e-13     0.802319 -2.25964e-12
     0.100426 -5.77066e-13     0.802299 -2.25964e-12
     0.100427 -5.77052e-13     0.802279 -2.25964e-12
     0.100428 -5.77037e-13     0.802258 -2.25964e-12
     0.100429 -5.77023e-13     0.802238 -2.25964e-12
     0.100430 -5.77008e-13     0.802218 -2.25964e-12
     0.100431 -5.76994e-13     0.802198 -2.25964e-12
     0.100432 -5.76979e-13     0.802177 -2.25964e-12
     0.100433 -5.76965e-13     0.802157 -2.25964e-12
     0.100434 -5.76950e-13     0.802137 -2.25964e-12
     0.100435 -5.76935e-13     0.802117 -2.25964e-12
     0.100436 -5.76921e-13     0.802097 -2.25964e-12
     0.100437 -5.76906e-13     0.802076 -2.25964e-12
     0.100438 -5.76892e-13     0.802056 -2.25964e-12
     0.100439 -5.76877e-13     0.802036 -2.25964e-12
     0.100440 -5.76863e-13     0.802016 -2.25964e-12
     0.100441 -5.76848e-13     0.801995 -2.25964e-12
     0.100442 -5.76834e-13     0.801975 -2.25964e-12
     0.100443 -5.76819e-13     0.801955 -2.25964e-12
     0.100444 -5.76805e-13     0.801935 -2.25964e-12
     0.100445 -5.76790e-13     0.801914 -2.25964e-12
     0.100446 -5.76775e-13     0.801894 -2.25964e-12
     0.100447 -5.76761e-13     0.801874 -2.25964e-12
     0.100448 -5.76746e-13     0.801854 -2.25964e-12
     0.100449 -5.76732e-13     0.801833 -2.25964e-12
     0.100450 -5.76717e-13     0.801813 -2.25964e-12
     0.100451 -5.76703e-13     0.801793 -2.25964e-12
     0.100452 -5.76688e-13     0.801773 -2.25964e-12
     0.100453 -5.76673e-13     0.801753 -2.25964e-12
     0.100454 -5.76659e-13     0.801732 -2.25964e-12
     0.100455 -5.76644e-13     0.801712 -2.25964e-12
     0.100456 -5.76630e-13     0.801692 -2.25964e-12
     0.100457 -5.76615e-13     0.801672 -2.25964e-12
     0.100458 -5.76601e-13     0.801651 -2.25964e-12
     0.100459 -5.76586e-13     0.801631 -2.25964e-12
     0.100460 -5.76572e-13     0.801611 -2.25964e-12
     0.100461 -5.76557e-13     0.801590 -2.25964e-12
     0.100462 -5.76542e-13     0.801570 -2.25964e-12
     0.100463 -5.76528e-13     0.801550 -2.25964e-12
     0.100464 -5.76513e-13     0.801530 -2.25964e-12
     0.100465 -5.76499e-13     0.801509 -2.25964e-12
     0.100466 -5.76484e-13     0.801489 -2.25964e-12
     0.100467 -5.76470e-13     0.801469 -2.25964e-12
     0.100468 -5.76455e-13     0.801449 -2.25964e-12
     0.100469 -5.76440e-13     0.801428 -2.25964e-12
     0.100470 -5.76426e-13     0.801408 -2.25964e-12
     0.100471 -5.76411e-13     0.801388 -2.25964e-12
     0.100472 -5.76397e-13     0.801368 -2.25964e-12
     0.100473 -5.76382e-13     0.801347 -2.25964e-12
     0.100474 -5.76368e-13     0.801327 -2.25964e-12
     0.100475 -5.76353e-13     0.801307 -2.25964e-12
     0.100476 -5.76339e-13     0.801287 -2.25964e-12
     0.100477 -5.76324e-13     0.801267 -2.25964e-12
     0.100478 -5.76309e-13     0.801246 -2.25964e-12
     0.100479 -5.76295e-13     0.801226 -2.25964e-12
     0.100480 -5.76280e-13     0.801206 -2.25964e-12
     0.100481 -5.76266e-13     0.801185 -2.25964e-12
     0.100482 -5.76251e-13     0.801165 -2.25964e-12
     0.100483 -5.76236e-13     0.801145 -2.25964e-12
     0.100484 -5.76222e-13     0.801125 -2.25964e-12
     0.100485 -5.76207e-13     0.801104 -2.25964e-12
     0.100486 -5.76193e-13     0.801084 -2.25964e-12
     0.100487 -5.76178e-13     0.801064 -2.25964e-12
     0.100488 -5.76164e-13     0.801044 -2.25964e-12
     0.100489 -5.76149e-13     0.801023 -2.25964e-12
     0.100490 -5.76135e-13     0.801003 -2.25964e-12
     0.100491 -5.76120e-13     0.800983 -2.25964e-12
     0.100492 -5.76105e-13     0.800963 -2.25964e-12
     0.100493 -5.76091e-13     0.800942 -2.25964e-12
     0.100494 -5.76076e-13     0.800922 -2.25964e-12
     0.100495 -5.76062e-13     0.800902 -2.25964e-12
     0.100496 -5.76047e-13     0.800882 -2.25964e-12
     0.100497 -5.76033e-13     0.800861 -2.25964e-12
     0.100498 -5.76018e-13     0.800841 -2.25964e-12
     0.100499 -5.76003e-13     0.800821 -2.25964e-12
     0.100500 -5.75989e-13     0.800801 -2.25964e-12
     0.100502 -5.75974e-13     0.800780 -2.25964e-12
     0.100503 -5.75960e-13     0.800760 -2.25964e-12
     0.100504 -5.75945e-13     0.800740 -2.25964e-12
     0.100505 -5.75931e-13     0.800720 -2.25964e-12
     0.100506 -5.75916e-13     0.800699 -2.25964e-12
     0.100507 -5.75901e-13     0.800679 -2.25964e-12
     0.100508 -5.75887e-13     0.800659 -2.25964e-12
     0.100509 -5.75872e-13     0.800639 -2.25964e-12
     0.100510 -5.75858e-13     0.800618 -2.25964e-12
     0.100511 -5.75843e-13     0.800598 -2.25964e-12
     0.100512 -5.75829e-13     0.800578 -2.25964e-12
     0.100513 -5.75814e-13     0.800557 -2.25964e-12
     0.100514 -5.75799e-13     0.800537 -2.25964e-12
     0.100515 -5.75785e-13     0.800517 -2.25964e-12
     0.100516 -5.75770e-13     0.800497 -2.25964e-12
     0.100517 -5.75756e-13     0.800476 -2.25964e-12
     0.100518 -5.75741e-13     0.800456 -2.25964e-12
     0.100519 -5.75727e-13     0.800436 -2.25964e-12
     0.100520 -5.75712e-13     0.800416 -2.25964e-12
     0.100521 -5.75697e-13     0.800395 -2.25964e-12
     0.100522 -5.75683e-13     0.800375 -2.25964e-12
     0.100523 -5.75668e-13     0.800355 -2.25964e-12
     0.100524 -5.75654e-13     0.800335 -2.25964e-12
     0.100525 -5.75639e-13     0.800314 -2.25964e-12
     0.100526 -5.75624e-13     0.800294 -2.25964e-12
     0.100527 -5.75610e-13     0.800274 -2.25964e-12
     0.100528 -5.75595e-13     0.800253 -2.25964e-12
     0.100529 -5.75581e-13     0.800233 -2.25964e-12
     0.100530 -5.75566e-13     0.800213 -2.25964e-12
     0.100531 -5.75551e-13     0.800193 -2.25964e-12
     0.100532 -5.75537e-13     0.800172 -2.25964e-12
     0.100533 -5.75522e-13     0.800152 -2.25964e-12
     0.100534 -5.75508e-13     0.800132 -2.25964e-12
     0.100535 -5.75493e-13     0.800111 -2.25964e-12
     0.100536 -5.75479e-13     0.800091 -2.25964e-12
     0.100537 -5.75464e-13     0.800071 -2.25964e-12
     0.100538 -5.75449e-13     0.800051 -2.25964e-12
     0.100539 -5.75435e-13     0.800030 -2.25964e-12
     0.100540 -5.75420e-13     0.800010 -2.25964e-12
     0.100541 -5.75406e-13     0.799990 -2.25964e-12
     0.100542 -5.75391e-13     0.799970 -2.25964e-12
     0.100543 -5.75376e-13     0.799949 -2.25964e-12
     0.100544 -5.75362e-13     0.799929 -2.25964e-12
     0.100545 -5.75347e-13     0.799909 -2.25964e-12
     0.100546 -5.75333e-13     0.799888 -2.25964e-12
     0.100547 -5.75318e-13     0.799868 -2.25964e-12
     0.100548 -5.75304e-13     0.799848 -2.25964e-12
     0.100549 -5.75289e-13     0.799828 -2.25964e-12
     0.100550 -5.75274e-13     0.799807 -2.25964e-12
     0.100551 -5.75260e-13     0.799787 -2.25964e-12
     0.100552 -5.75245e-13     0.799767 -2.25964e-12
     0.100553 -5.75231e-13     0.799746 -2.25964e-12
     0.100554 -5.75216e-13     0.799726 -2.25964e-12
     0.100555 -5.75202e-13     0.799706 -2.25964e-12
     0.100556 -5.75187e-13     0.799686 -2.25964e-12
     0.100557 -5.75172e-13     0.799665 -2.25964e-12
     0.100558 -5.75158e-13     0.799645 -2.25964e-12
     0.100559 -5.75143e-13     0.799625 -2.25964e-12
     0.100560 -5.75128e-13     0.799604 -2.25964e-12
     0.100561 -5.75114e-13     0.799584 -2.25964e-12
     0.100562 -5.75099e-13     0.799564 -2.25964e-12
     0.100563 -5.75085e-13     0.799544 -2.25964e-12
     0.100564 -5.75070e-13     0.799523 -2.25964e-12
     0.100565 -5.75056e-13     0.799503 -2.25964e-12
     0.100566 -5.75041e-13     0.799483 -2.25964e-12
     0.100567 -5.75026e-13     0.799462 -2.25964e-12
     0.100568 -5.75012e-13     0.799442 -2.25964e-12
     0.100569 -5.74997e-13     0.799422 -2.25964e-12
     0.100570 -5.74983e-13     0.799402 -2.25964e-12
     0.100571 -5.74968e-13     0.799381 -2.25964e-12
     0.100572 -5.74953e-13     0.799361 -2.25964e-12
     0.100573 -5.74939e-13     0.799341 -2.25964e-12
     0.100574 -5.74924e-13     0.799321 -2.25964e-12
     0.100575 -5.74910e-13     0.799300 -2.25964e-12
     0.100576 -5.74895e-13     0.799280 -2.25964e-12
     0.100577 -5.74880e-13     0.799260 -2.25964e-12
     0.100578 -5.74866e-13     0.799239 -2.25964e-12
     0.100579 -5.74851e-13     0.799219 -2.25964e-12
     0.100580 -5.74837e-13     0.799199 -2.25964e-12
     0.100581 -5.74822e-13     0.799178 -2.25964e-12
     0.100582 -5.74808e-13     0.799158 -2.25964e-12
     0.100583 -5.74793e-13     0.799138 -2.25964e-12
