environment_variable,environment,n,rmse,gap_vs_overall
distance_parsec,"(11.532, 15.0]",245,0.025660494342446327,0.0025912411510944366
star_temperature,"(6229.817, 7199.959]",249,0.024423234164714813,0.0013539809733629227
surface_pressure,"(2.164, 3.498]",254,0.023572223260998726,0.0005029700696468353
star_temperature,"(3800.006, 4925.602]",278,0.023566188290715218,0.000496935099363327
surface_temperature,"(128.236, 223.228]",268,0.023540064692497253,0.00047081150114536285
star_class,3,326,0.023409277200698853,0.000340024009346962
surface_pressure,"(3.498, 12.006]",257,0.023369818925857544,0.0003005657345056534
star_temperature,"(4925.602, 5600.925]",256,0.023340092971920967,0.00027083978056907654
surface_temperature,"(299.084, 639.857]",253,0.02314787544310093,7.86222517490387e-05
surface_temperature,"(223.228, 257.381]",242,0.022970786318182945,-9.846687316894531e-05
star_class,5,360,0.0229476448148489,-0.00012160837650299072
distance_parsec,"(4.743, 8.109]",252,0.02293647639453411,-0.00013277679681777954
star_class,4,338,0.02273387461900711,-0.00033537857234477997
surface_pressure,"(1.12, 2.164]",275,0.02265056222677231,-0.0004186909645795822
surface_pressure,"(0.099, 1.12]",238,0.022422930225729942,-0.0006463229656219482
surface_temperature,"(257.381, 299.084]",261,0.022388963028788567,-0.000680290162563324
distance_parsec,"(8.109, 11.532]",252,0.021880635991692543,-0.0011886171996593475
distance_parsec,"(1.2990000000000002, 4.743]",275,0.021602099761366844,-0.0014671534299850464
star_temperature,"(5600.925, 6229.817]",241,0.020374327898025513,-0.002694925293326378
