environment_variable,environment,n,rmse,gap_vs_overall
distance_parsec,"(11.532, 15.0]",245,0.02420177310705185,0.0012710187584161758
surface_temperature,"(299.084, 639.857]",253,0.023538460955023766,0.000607706606388092
distance_parsec,"(1.2990000000000002, 4.743]",275,0.02330639772117138,0.00037564337253570557
surface_pressure,"(2.164, 3.498]",254,0.023203866556286812,0.0002731122076511383
star_class,4,338,0.02316981554031372,0.00023906119167804718
star_temperature,"(6229.817, 7199.959]",249,0.0231588426977396,0.0002280883491039276
star_temperature,"(3800.006, 4925.602]",278,0.02298761159181595,5.685724318027496e-05
star_class,3,326,0.02292359434068203,-7.160007953643799e-06
star_temperature,"(4925.602, 5600.925]",256,0.022904172539711,-2.6581808924674988e-05
surface_pressure,"(3.498, 12.006]",257,0.02286815643310547,-6.259791553020477e-05
surface_pressure,"(1.12, 2.164]",275,0.022837171331048012,-9.358301758766174e-05
surface_temperature,"(223.228, 257.381]",242,0.022746464237570763,-0.0001842901110649109
surface_temperature,"(257.381, 299.084]",261,0.02270500175654888,-0.000225752592086792
star_class,5,360,0.022631334140896797,-0.00029942020773887634
surface_pressure,"(0.099, 1.12]",238,0.022555306553840637,-0.0003754477947950363
surface_temperature,"(128.236, 223.228]",268,0.022554291412234306,-0.0003764629364013672
star_temperature,"(5600.925, 6229.817]",241,0.022448690608143806,-0.00048206374049186707
distance_parsec,"(8.109, 11.532]",252,0.02242935262620449,-0.0005014017224311829
distance_parsec,"(4.743, 8.109]",252,0.02148856222629547,-0.0014421921223402023
